country,continent,foreign_fighters,GINI_index,muslim_population,pop_mus_tot,ff_pop_mus,ff_mln,ff_pop
Albania,Europa,90,29.00,2601000,0.82,34.6,34.6,31
Argentina,America,23,42.70,1000000,0.03,23,23,0.5
Australia,Oceania,120,34.90,399000,0.02,300.75,300.7,5.1
Austria,Europa,300,30.50,475000,0.06,631.58,631.5,35.3
Azerbaijan,Asia,105,31.80,8795000,0.98,11.94,11.93,11
Belgio,Europa,470,27.60,638000,0.06,736.68,736.6,42
Bosnia-Herzegovina,Europa,330,33.80,1564000,0.42,211,210.9,86.8
Brasile,America,3,51.50,204000,0,14.71,14.7,0.1
Bulgaria,Europa,2,36.00,900000,0.13,2,2,0.3
Cambogia,Asia,1,30.80,240000,0.02,4.17,4.2,0.7
Canada,America,130,33.70,940000,0.03,138.3,138.2,3.7
Cina,Asia,300,42.20,23308000,0.02,12.87,12.87,0.2
Croazia,Europa,1,32.50,56000,0.01,17.86,17.85,0
Danimarca,Europa,125,29.10,226000,0.04,553.1,553,22.3
Estonia,Europa,1,33.20,2000,0,500,500,2
Filippine,Asia,100,43.00,4737000,0.05,21.11,21.11,1
Finlandia,Europa,70,27.10,42000,0.01,1666.67,1666,12.7
Francia,Europa,1700,33.10,4704000,0.08,361.39,361.3,25.7
Georgia,Asia,50,40.10,442000,0.11,113.12,113.1,11.1
Germania,Europa,760,30.10,4119000,0.05,184.51,184.5,9.4
Giappone,Asia,9,32.10,185000,0,48.65,48.64,0.1
India,Asia,23,35.20,177286000,0.15,0.13,0.13,0.2
Indonesia,Asia,700,39.50,204847000,0.88,3.42,3.4,2.8
Irlanda,Europa,30,32.50,43000,0.01,697.67,697.6,6.5
Israele,Asia,45,42.80,1287000,0.18,34.97,34.96,6.1
Italia,Europa,87,35.20,1287000,0.18,67.6,67.59,1.4
Kazakhstan,Asia,300,26.30,6397000,0.99,46.9,46.89,18.3
Kosovo,Europa,232,26.70,2104000,0.92,110.27,110.2,128.9
Kyrgyzstan,Asia,100,26.80,4927000,0.89,20.3,20.29,86.2
Lettonia,Europa,2,35.50,2000,0,1000,1000,1
Lussemburgo,Europa,6,34.80,110000,0.02,54.55,54.54,11
"Macedonia, FYROM",Europa,146,44.10,713000,0.35,204.77,204.7,69.5
Madagascar,Africa,3,42.70,220000,0.01,13.64,13.63,0.1
Maldive,Asia,200,38.40,309000,0.98,647.25,647.2,500
Malesia,Asia,100,46.30,17139000,0.61,5.83,5.8,3.3
Marocco,Africa,1200,40.70,32381000,1,37.06,37.05,35.4
Moldavia,Europa,1,26.80,15000,0,66.67,66.66,0.3
Montenegro,Europa,30,31.90,116000,0.19,258.62,258.6,50
Norvegia,Europa,81,25.90,144000,0.03,562.5,562.5,15.9
Paesi Bassi,Europa,220,28.00,914000,0.06,240.7,240.7,13
Pakistan,Asia,70,30.70,178097000,0.96,0.39,0.39,0.4
Polonia,Europa,30,32.10,20000,0,1500,1500,1
Portogallo,Europa,12,36.00,65000,0.01,184.62,184.6,1.2
Regno Unito,Europa,760,32.60,2869000,0.05,264.9,264.9,11.8
Romania,Europa,1,27.50,73000,0,13.7,13.69,0.2
Russia,Europa,2400,41.60,16379000,0.12,146.53,146.5,16.7
Serbia,Europa,60,29.10,280000,0.04,214.29,214.2,8.5
Slovacchia,Europa,6,26.10,4000,0,1500,1500,1
Slovenia,Europa,3,25.60,49000,0.02,61.22,61.22,2
Spagna,Europa,133,35.90,1150000,0.02,130.26,130.2,2.9
Stati Uniti d'America,America,150,41.10,2595000,0.01,57.8,57.8,0.5
Sud Africa,Africa,1,63.40,737000,0.02,1.36,1.4,0.2
Sudan,Africa,70,35.40,35855000,0.71,2.27,2.3,1.8
Svezia,Europa,300,27.30,451000,0.05,665.19,665.1,30.9
Svizzera,Europa,57,31.60,433000,0.06,131.64,131.6,7
Tajikistan,Asia,386,30.80,7006000,0.99,55.1,55.09,46.5
Trinidad e Tobago,America,50,40.30,78000,0.06,641.03,641,35.7
Tunisia,Africa,6000,35.80,10349000,1,579.77,579.7,545.5
Turchia,Europa,2100,40.20,74660000,0.99,28.13,28.12,27.7
Turkmenistan,Asia,360,40.80,4830000,0.93,74.53,74.53,67.9
Ucraina,Europa,50,24.10,393000,0.01,127.23,127.2,1.1
Uzbekistan,Asia,500,35.30,26833000,0.97,18.63,18.63,17.5
